N,P,K,temperature,humidity,ph,rainfall,soil_type
58.0,19.9,63.4,35.0,88.5,4.58,3034.2,Brown Hydromorphic
49.1,13.9,86.3,31.2,82.7,4.97,3735.5,Laterite
41.4,38.7,71.3,33.9,89.4,8.31,2514.8,Coastal Alluvial
55.6,46.2,44.2,31.5,97.6,4.47,2735.9,Brown Hydromorphic
72.4,40.3,88.8,26.8,61.8,7.68,1567.2,Clayey
81.5,58.0,108.6,26.8,84.5,7.32,2366.9,Riverine Alluvial
48.8,11.0,69.5,27.2,75.5,4.58,3804.4,Laterite
59.5,12.2,60.2,29.6,88.3,5.25,3056.9,Laterite
58.2,21.4,50.6,30.9,88.4,7.38,1568.8,Coastal Alluvial
68.0,41.0,103.5,29.9,83.9,7.12,2357.2,Clayey
44.3,44.6,53.3,32.8,79.3,7.92,2107.8,Coastal Alluvial
43.6,30.6,100.6,31.0,69.9,5.75,2963.8,Red Loam
70.1,13.2,67.5,26.9,75.5,5.1,3798.2,Laterite
55.9,11.1,87.6,27.6,67.3,4.91,3192.8,Laterite
43.8,10.4,56.1,33.1,74.0,5.62,3450.1,Laterite
62.0,27.1,96.2,27.5,85.1,5.86,2350.7,Red Loam
76.4,46.7,92.3,28.0,66.8,6.21,2022.4,Loamy
130.6,31.4,46.5,25.5,95.8,4.32,3632.3,Peaty
70.0,40.1,55.9,33.9,97.6,5.34,2976.9,Brown Hydromorphic
85.7,32.5,96.3,29.6,82.7,6.58,3101.1,Red Loam
36.5,37.2,59.5,33.3,80.2,8.25,2202.3,Coastal Alluvial
103.6,56.8,73.0,21.2,82.3,6.19,3619.2,Forest Loam
82.5,44.9,59.4,31.6,84.4,4.41,2704.7,Brown Hydromorphic
75.5,47.9,69.3,28.3,79.8,7.29,2767.9,Riverine Alluvial
48.2,27.9,72.1,32.0,88.1,7.73,2004.0,Coastal Alluvial
94.5,28.5,98.7,29.5,75.4,6.1,2571.2,Red Loam
49.5,13.7,87.7,26.9,81.4,5.46,3393.1,Laterite
101.6,51.9,74.4,26.2,91.8,5.93,2710.2,Riverine Alluvial
63.3,13.4,82.2,30.3,85.6,5.03,3501.0,Laterite
44.8,21.6,55.3,28.3,86.5,4.81,3325.4,Laterite
72.5,27.6,36.5,28.2,89.3,4.53,3135.5,Brown Hydromorphic
85.5,55.6,98.7,25.8,88.3,7.85,1996.6,Clayey
31.7,22.5,41.8,29.6,86.3,5.57,2935.8,Laterite
47.5,38.0,66.0,28.8,94.7,7.99,1794.2,Coastal Alluvial
100.6,54.2,85.5,30.6,83.1,6.86,2909.5,Riverine Alluvial
57.8,18.0,82.4,31.2,76.6,5.11,3582.4,Laterite
55.0,6.8,70.6,32.0,86.3,5.47,3569.1,Laterite
101.1,33.2,112.0,27.5,80.1,6.39,3558.0,Riverine Alluvial
80.8,32.3,62.2,29.0,85.4,4.85,2163.1,Brown Hydromorphic
66.1,39.7,62.0,31.2,89.1,5.01,3005.0,Brown Hydromorphic
65.2,32.0,49.3,28.4,92.0,5.03,2488.6,Brown Hydromorphic
78.4,33.4,68.7,26.5,77.2,5.7,2858.6,Red Loam
66.3,43.1,72.2,37.4,70.3,7.9,1169.0,Black Cotton
47.6,16.3,95.1,30.5,84.7,4.86,3053.1,Laterite
45.0,33.0,55.8,27.6,89.4,4.78,3049.5,Brown Hydromorphic
92.3,40.1,81.4,26.3,68.8,6.6,2192.2,Loamy
58.2,42.6,54.2,31.9,81.1,7.13,1740.8,Coastal Alluvial
98.1,50.5,93.2,27.9,75.6,6.19,3259.2,Riverine Alluvial
90.4,61.1,93.3,30.8,75.4,6.99,2578.4,Riverine Alluvial
140.6,24.1,57.9,30.9,94.7,4.49,3172.6,Peaty
33.5,33.0,42.4,28.3,89.7,7.82,1648.1,Coastal Alluvial
46.8,27.0,81.0,26.5,80.5,5.05,3567.7,Laterite
44.9,28.9,65.1,31.1,89.7,8.13,2358.8,Coastal Alluvial
143.5,23.9,38.9,30.9,94.7,4.05,2880.3,Peaty
58.7,26.0,78.2,28.1,68.7,6.46,2585.7,Red Loam
78.1,55.0,58.6,28.4,91.0,4.34,3054.4,Brown Hydromorphic
79.1,50.8,93.2,20.9,68.0,7.63,1403.9,Clayey
75.9,36.6,54.5,25.8,65.7,6.56,2102.0,Loamy
92.2,45.5,67.6,25.4,63.7,6.51,2143.3,Loamy
30.8,23.2,63.0,25.5,88.1,5.93,3237.7,Laterite
152.6,30.1,51.7,29.9,92.4,4.79,3600.6,Peaty
88.9,70.0,92.0,28.4,76.5,6.56,3414.8,Riverine Alluvial
54.3,14.1,56.5,25.7,80.1,5.16,2993.2,Laterite
109.2,30.8,54.0,22.4,74.0,6.0,3480.9,Forest Loam
159.3,31.0,58.1,29.1,87.0,4.58,3168.0,Peaty
71.7,34.6,70.7,28.4,83.6,6.4,2905.9,Red Loam
88.8,41.3,60.4,29.7,64.8,7.36,1265.3,Black Cotton
150.7,23.8,44.3,30.4,99.8,4.05,3271.2,Peaty
74.7,42.1,53.5,29.3,70.8,8.33,1472.2,Black Cotton
54.8,30.9,74.8,29.0,81.8,6.97,2128.1,Coastal Alluvial
62.5,46.1,39.3,30.3,87.5,5.01,3552.2,Brown Hydromorphic
43.9,22.5,104.9,27.6,75.2,6.63,2243.9,Red Loam
68.0,16.2,82.9,32.5,67.5,5.47,3000.9,Laterite
34.8,25.6,18.8,32.1,48.8,6.94,1575.0,Sandy
82.1,45.7,102.6,30.3,78.5,6.81,2574.8,Riverine Alluvial
81.7,48.4,96.3,30.0,82.3,7.78,2252.3,Clayey
63.2,13.2,86.8,27.6,87.6,4.98,3304.6,Laterite
27.7,45.1,43.6,28.4,87.7,7.31,1789.7,Coastal Alluvial
77.3,33.0,63.3,28.0,83.3,5.47,3204.0,Brown Hydromorphic
92.3,35.5,55.0,23.8,93.8,4.74,3318.4,Brown Hydromorphic
73.2,46.3,66.3,29.9,61.3,7.36,1543.7,Black Cotton
100.1,60.9,85.3,24.4,72.6,6.78,2779.0,Riverine Alluvial
78.5,33.2,43.7,30.2,94.0,4.5,2954.0,Brown Hydromorphic
66.0,11.4,89.9,25.6,80.5,5.67,3506.5,Laterite
37.6,40.7,62.6,30.8,96.9,7.82,2098.5,Coastal Alluvial
66.6,15.5,65.3,32.4,76.1,5.07,2999.2,Laterite
54.8,47.5,95.5,34.9,60.6,7.66,1194.1,Black Cotton
94.7,47.5,86.4,28.7,82.3,7.19,3058.6,Riverine Alluvial
77.7,34.4,57.9,29.3,88.9,4.88,3307.7,Brown Hydromorphic
83.9,48.5,56.8,27.4,82.1,5.34,3166.0,Brown Hydromorphic
87.1,59.6,102.3,29.6,73.5,6.5,2514.4,Riverine Alluvial
49.6,10.8,76.7,30.7,86.1,5.37,2980.9,Laterite
56.1,12.7,82.8,32.6,84.2,5.29,4097.8,Laterite
50.4,10.0,75.8,31.9,86.1,5.58,3261.1,Laterite
75.9,36.4,49.5,28.3,80.5,6.52,3163.8,Riverine Alluvial
62.5,35.8,60.4,24.7,61.7,7.62,1502.1,Black Cotton
71.5,44.7,67.4,26.8,72.6,7.11,1809.9,Clayey
86.7,44.4,108.2,21.1,92.9,6.06,4014.7,Forest Loam
53.0,38.9,55.8,29.3,81.7,6.31,3124.7,Red Loam
86.9,49.7,83.3,26.0,82.8,7.17,3134.0,Riverine Alluvial
49.5,10.6,63.6,29.1,81.5,5.39,3318.7,Laterite
164.6,25.0,41.9,31.1,94.9,4.36,3370.1,Peaty
74.2,60.0,66.4,29.0,79.7,6.86,3167.5,Riverine Alluvial
89.5,49.9,76.1,32.0,74.5,6.73,2884.3,Riverine Alluvial
86.1,47.6,66.5,27.3,58.8,7.44,1486.9,Black Cotton
55.5,32.1,64.8,30.1,83.0,6.43,2252.6,Red Loam
84.9,62.6,106.7,27.2,73.7,6.61,2783.4,Riverine Alluvial
54.2,39.8,46.1,30.1,76.5,7.5,2242.8,Coastal Alluvial
36.0,20.9,28.3,33.6,50.0,6.31,750.8,Sandy
75.6,27.9,75.1,31.0,69.1,6.1,2639.5,Red Loam
48.4,23.4,69.8,31.8,69.7,5.69,3234.0,Laterite
97.3,34.0,95.9,15.2,85.3,5.82,3925.4,Forest Loam
71.7,12.5,109.6,27.7,93.8,4.58,3519.0,Laterite
179.3,19.3,36.5,28.9,91.9,4.06,2674.9,Peaty
32.1,19.0,50.8,30.9,83.3,7.93,1937.4,Coastal Alluvial
116.7,69.6,70.2,27.4,81.2,7.79,3315.7,Riverine Alluvial
42.1,35.7,65.2,29.2,84.5,7.77,2116.8,Coastal Alluvial
118.1,47.4,111.3,19.3,91.5,5.32,3935.2,Forest Loam
41.6,36.3,54.5,32.6,91.3,8.52,2668.2,Coastal Alluvial
49.1,44.9,68.7,24.7,75.2,6.9,1211.6,Black Cotton
65.8,43.2,51.8,31.1,73.6,7.75,1614.2,Black Cotton
128.0,42.6,104.5,21.1,86.2,5.73,3901.1,Forest Loam
70.2,24.5,78.4,29.9,66.0,5.72,2411.0,Red Loam
66.4,28.4,80.5,31.7,78.7,7.88,1876.8,Coastal Alluvial
101.0,39.6,98.6,14.2,77.0,6.06,4177.2,Forest Loam
75.4,16.8,49.7,29.9,72.2,6.13,2682.4,Red Loam
48.8,29.3,85.2,30.1,64.6,6.56,2585.2,Red Loam
79.4,42.7,50.2,30.0,91.2,4.47,2991.2,Brown Hydromorphic
53.8,38.9,73.1,27.0,81.5,6.99,2450.4,Clayey
76.7,43.7,44.4,30.7,97.5,4.86,3881.5,Brown Hydromorphic
105.4,41.8,82.2,28.0,82.9,6.76,2926.7,Riverine Alluvial
107.6,51.5,75.7,26.3,84.6,6.8,3068.8,Riverine Alluvial
89.1,47.1,34.6,30.2,90.6,4.97,3544.0,Brown Hydromorphic
41.3,36.9,52.8,30.8,80.7,7.62,1777.1,Coastal Alluvial
61.4,34.3,99.3,27.2,70.8,6.24,2432.5,Red Loam
72.9,13.4,66.1,30.0,82.1,5.1,3462.2,Laterite
60.9,32.9,67.4,28.4,81.3,5.82,2958.9,Red Loam
98.1,57.0,82.6,34.6,69.0,6.79,2541.2,Riverine Alluvial
91.0,40.6,61.0,31.9,92.0,4.27,3415.0,Brown Hydromorphic
35.0,37.1,62.1,25.3,78.6,7.72,1637.6,Coastal Alluvial
28.3,38.3,59.7,34.4,85.2,7.44,2031.0,Coastal Alluvial
132.8,38.0,63.7,22.1,79.9,6.26,3191.2,Forest Loam
116.4,46.1,107.5,20.7,85.7,6.31,3478.9,Forest Loam
73.5,25.2,64.4,32.3,89.0,5.9,2544.1,Red Loam
73.0,31.8,53.8,29.0,89.8,4.21,3643.7,Brown Hydromorphic
74.7,42.1,115.4,29.3,77.7,6.99,3185.0,Riverine Alluvial
83.6,55.9,119.8,23.3,81.2,6.06,4208.5,Forest Loam
68.0,49.1,56.9,25.6,85.3,4.79,2568.3,Brown Hydromorphic
75.2,42.1,77.0,34.9,86.3,7.5,1822.9,Clayey
55.7,13.6,74.4,26.7,74.4,5.77,3788.6,Laterite
60.5,14.4,76.1,30.7,77.9,5.25,3374.6,Laterite
63.1,5.7,71.2,27.2,79.1,5.41,3522.6,Laterite
54.4,37.6,60.2,32.5,93.7,7.48,1893.3,Coastal Alluvial
50.1,33.5,59.4,32.2,82.5,8.05,1489.1,Coastal Alluvial
42.5,18.6,71.9,25.0,86.4,4.27,3033.0,Laterite
143.8,54.8,107.9,19.5,82.0,5.32,4598.9,Forest Loam
97.6,55.0,77.1,25.9,74.4,7.06,3013.0,Riverine Alluvial
68.7,22.5,55.4,32.9,76.5,6.82,1145.6,Black Cotton
34.8,18.1,70.0,31.6,83.4,5.57,3538.1,Laterite
81.6,58.6,87.0,28.0,83.8,6.89,3094.4,Riverine Alluvial
54.2,37.3,47.9,27.8,86.7,4.82,3044.4,Brown Hydromorphic
32.4,54.7,53.1,33.5,84.9,8.62,2172.7,Coastal Alluvial
98.6,62.7,62.0,17.9,90.8,5.39,3236.9,Forest Loam
34.4,16.1,50.2,27.8,61.9,6.51,943.7,Sandy
58.4,42.9,58.6,31.0,57.2,7.78,1211.6,Black Cotton
78.7,28.0,50.9,30.2,89.2,4.94,3077.7,Brown Hydromorphic
108.3,61.4,61.3,31.1,85.7,6.93,1909.3,Riverine Alluvial
75.7,44.2,86.3,28.9,70.8,6.95,2195.0,Loamy
100.3,43.9,81.6,28.6,76.6,6.65,1688.9,Loamy
79.0,31.0,44.7,29.0,88.8,5.05,3511.4,Brown Hydromorphic
74.8,38.3,79.9,33.9,50.3,7.84,1241.4,Black Cotton
87.9,43.8,103.6,24.4,82.8,6.93,1831.3,Clayey
57.3,29.8,89.9,32.0,75.4,6.05,2535.8,Red Loam
80.0,37.2,93.5,35.4,86.4,6.92,2353.6,Red Loam
46.2,25.3,40.4,39.7,56.0,6.65,1105.0,Sandy
45.7,39.4,57.7,33.3,62.7,7.46,1088.1,Black Cotton
99.9,45.6,81.9,21.7,80.0,5.44,4231.2,Forest Loam
34.6,36.6,54.7,33.6,92.2,7.24,2621.5,Coastal Alluvial
56.8,21.9,88.7,29.9,74.4,6.29,2666.3,Red Loam
23.3,25.5,56.9,35.1,54.0,6.2,1357.2,Sandy
27.0,14.7,83.2,22.8,73.8,4.6,2321.9,Laterite
68.2,22.8,70.8,28.5,73.4,5.98,2676.5,Red Loam
90.9,50.4,100.6,31.5,75.2,7.01,2348.0,Riverine Alluvial
75.2,53.7,54.9,33.6,56.2,6.81,1399.9,Black Cotton
123.7,58.5,111.9,18.3,89.8,5.22,4697.8,Forest Loam
81.1,55.4,83.8,28.7,80.1,6.67,2929.2,Riverine Alluvial
54.0,63.6,103.4,24.9,74.2,6.98,2327.3,Riverine Alluvial
58.3,17.2,89.3,27.7,83.1,5.27,2960.6,Laterite
93.0,36.5,76.5,35.5,65.6,7.91,1615.7,Black Cotton
56.0,16.5,69.6,29.4,78.2,4.77,3461.8,Laterite
73.9,49.6,64.4,31.7,61.1,8.03,1876.0,Black Cotton
84.5,14.2,73.4,27.8,89.3,4.5,3364.1,Laterite
71.5,37.5,38.4,30.8,90.4,4.08,3144.9,Brown Hydromorphic
74.7,17.8,64.7,28.5,85.9,5.31,2814.8,Laterite
74.8,46.4,70.2,26.1,70.5,6.91,1351.6,Loamy
69.4,29.3,47.4,31.7,90.6,5.09,3383.4,Brown Hydromorphic
108.9,53.1,75.6,18.4,76.2,5.4,4989.2,Forest Loam
78.6,16.8,97.8,26.3,85.5,4.96,4021.4,Laterite
66.7,9.6,72.8,26.1,85.3,4.37,3092.3,Laterite
53.6,28.1,43.2,26.5,82.7,4.33,3814.3,Brown Hydromorphic
140.8,23.9,43.5,30.0,92.6,4.43,3139.2,Peaty
74.7,40.0,63.7,30.8,71.7,8.5,1564.5,Black Cotton
53.8,19.4,67.9,30.4,80.4,6.41,2784.3,Red Loam
22.5,32.5,48.4,31.6,81.5,7.67,2218.3,Coastal Alluvial
51.3,46.9,40.9,34.6,78.0,7.78,1328.7,Coastal Alluvial
49.5,44.7,50.2,33.0,81.6,7.74,1585.9,Coastal Alluvial
115.9,46.5,102.1,32.2,84.3,6.36,2532.3,Riverine Alluvial
43.7,25.2,68.7,31.6,79.8,7.19,1669.8,Coastal Alluvial
123.9,51.5,130.7,22.5,85.2,6.32,3908.3,Forest Loam
57.7,15.7,74.6,23.8,81.4,5.63,3341.1,Laterite
67.9,14.3,89.5,25.5,80.7,4.85,3956.3,Laterite
75.1,77.0,78.4,24.8,73.3,6.78,3278.0,Riverine Alluvial
108.6,51.3,107.8,29.1,82.0,6.78,2472.4,Riverine Alluvial
66.8,14.4,85.3,31.3,80.4,5.22,3481.2,Laterite
29.0,39.7,50.3,35.5,88.6,7.81,2209.1,Coastal Alluvial
84.7,42.2,68.0,30.1,89.3,4.33,3076.2,Brown Hydromorphic
81.5,48.6,82.3,29.7,66.9,6.49,1417.8,Loamy
121.5,54.2,93.9,22.7,87.1,5.46,3593.8,Forest Loam
70.5,26.2,73.3,29.4,81.1,5.61,2470.3,Red Loam
137.9,32.4,40.9,31.3,100.0,4.11,2961.8,Peaty
42.3,34.4,57.1,36.1,90.2,6.85,2048.9,Coastal Alluvial
46.7,31.6,69.5,31.4,80.3,7.43,2448.6,Coastal Alluvial
84.3,26.1,48.6,29.2,67.2,7.8,1292.3,Black Cotton
106.6,40.2,87.6,27.9,77.0,7.01,3564.8,Riverine Alluvial
36.2,17.3,36.0,27.3,75.7,5.4,3569.1,Laterite
91.0,53.6,87.8,27.7,85.1,6.44,2276.2,Riverine Alluvial
55.5,17.6,69.5,29.5,74.4,5.56,3077.0,Laterite
31.2,14.9,86.2,30.2,77.9,5.31,3432.4,Laterite
86.5,23.6,59.4,30.7,84.6,6.8,2945.2,Red Loam
43.3,19.0,46.5,30.7,79.8,5.18,3314.4,Laterite
125.1,57.5,85.2,19.4,80.0,5.7,4393.4,Forest Loam
89.6,44.9,74.7,22.8,82.0,6.32,3488.9,Forest Loam
139.5,24.7,39.1,31.4,87.7,3.32,3135.8,Peaty
55.9,24.3,46.3,33.5,89.2,7.01,2553.9,Coastal Alluvial
22.5,31.8,78.5,31.8,81.9,8.05,1549.9,Coastal Alluvial
112.4,44.1,94.0,14.2,82.1,5.95,4107.1,Forest Loam
69.7,15.8,49.9,24.1,78.3,4.91,3518.3,Laterite
86.5,43.8,93.8,20.1,86.8,5.84,4084.7,Forest Loam
93.6,46.6,105.3,30.4,84.9,6.79,2553.0,Riverine Alluvial
80.8,47.9,66.6,31.4,70.9,7.58,1784.8,Clayey
67.8,19.2,69.8,30.4,74.9,6.13,1793.9,Red Loam
53.1,37.3,62.5,29.5,84.4,8.52,2622.8,Coastal Alluvial
36.2,40.2,79.5,34.5,86.7,7.12,1697.7,Coastal Alluvial
68.3,32.1,61.8,33.8,75.5,6.24,2717.6,Red Loam
156.7,34.0,47.5,30.9,92.6,4.58,3095.9,Peaty
60.3,41.3,59.1,29.8,85.9,5.09,2874.5,Brown Hydromorphic
157.9,31.9,59.1,30.7,95.5,4.22,2576.0,Peaty
