N,P,K,temperature,humidity,ph,rainfall,crop
124.8,59.3,103.2,32.1,51.1,6.98,58.9,cotton
49.5,54.8,38.7,20.9,68.3,7.0,64.3,mungbean
44.2,75.2,57.5,17.3,61.5,6.61,95.5,kidneybeans
125.2,67.9,56.9,31.2,84.7,5.88,160.4,rice
82.9,60.9,34.3,18.3,64.0,6.82,92.2,wheat
107.6,38.5,38.9,12.4,64.7,6.5,104.2,wheat
64.0,49.7,80.0,27.6,56.0,6.01,79.7,pomegranate
115.2,65.2,65.6,33.0,57.2,7.06,93.6,cotton
36.0,25.8,64.8,35.7,53.3,6.68,117.8,mango
67.3,35.5,70.8,18.8,60.8,6.39,132.7,apple
110.3,57.7,45.2,26.2,79.2,6.13,240.1,rice
107.4,51.2,63.8,31.0,86.2,6.17,262.8,rice
64.1,45.4,108.6,24.2,68.1,5.84,208.1,coffee
113.6,50.6,65.5,23.0,83.1,5.81,238.7,rice
39.9,55.8,47.9,32.0,75.8,7.2,61.3,blackgram
105.3,65.9,57.1,34.1,74.5,6.48,194.8,jute
61.7,39.9,85.6,31.4,61.3,6.74,87.4,pomegranate
56.5,51.1,112.4,27.4,72.0,6.49,54.4,muskmelon
28.3,52.7,37.7,28.1,67.5,6.84,68.3,mungbean
64.2,34.6,60.6,34.0,54.8,6.68,165.9,mango
103.4,53.6,85.4,29.6,58.8,6.89,96.2,cotton
69.7,55.7,87.7,20.9,75.5,6.33,64.3,watermelon
60.6,49.7,45.2,28.6,62.3,6.81,83.2,pomegranate
74.5,36.8,72.6,16.6,67.5,6.94,149.1,apple
119.0,44.1,52.8,28.9,72.0,6.65,68.5,maize
73.4,48.3,71.7,27.5,64.2,6.18,134.3,orange
95.0,56.9,22.5,15.3,61.0,6.72,81.6,wheat
103.3,52.6,93.8,29.7,84.4,6.8,203.1,banana
42.9,56.6,60.4,36.0,53.2,7.01,101.3,pomegranate
56.1,49.3,57.8,22.1,73.7,6.2,145.0,apple
100.1,66.4,69.2,30.3,86.7,6.53,237.6,jute
65.6,48.3,73.5,21.7,44.8,7.65,65.7,grapes
78.7,47.5,80.1,29.3,62.4,6.44,94.0,grapes
55.6,39.4,70.1,18.8,72.0,6.32,132.6,orange
48.5,34.5,59.0,33.6,54.9,6.5,163.4,mango
20.0,44.1,27.8,21.3,57.9,6.78,47.3,chickpea
23.8,75.8,36.8,20.7,62.8,7.03,75.6,kidneybeans
122.7,62.6,66.5,29.8,77.7,6.23,267.7,jute
83.1,46.6,89.6,21.0,84.7,5.87,210.9,coffee
94.1,48.6,48.7,20.2,68.4,6.55,80.2,wheat
87.5,60.0,104.1,20.4,86.8,5.4,217.3,coffee
126.9,59.1,78.2,29.5,83.0,6.23,143.4,banana
110.9,52.8,47.0,25.3,71.1,6.88,93.9,maize
46.6,32.1,57.4,31.9,63.0,6.21,178.0,mango
114.8,59.0,80.1,21.3,50.6,6.78,116.8,cotton
72.9,61.6,130.6,27.9,65.2,6.57,58.4,watermelon
72.7,31.0,56.3,31.8,55.4,5.96,134.6,mango
108.4,65.0,45.5,33.5,85.9,6.76,279.0,jute
51.2,45.3,51.8,15.2,58.0,5.95,127.2,apple
54.6,37.0,75.7,27.8,54.5,7.28,112.6,pomegranate
136.5,56.2,48.0,30.6,78.9,6.17,262.4,jute
73.2,40.5,50.0,26.2,60.3,6.2,107.8,wheat
32.8,40.8,45.3,22.3,60.5,6.82,59.0,chickpea
106.1,58.1,116.0,29.7,88.3,7.28,138.3,banana
76.5,41.0,50.7,32.1,42.2,7.44,110.9,pomegranate
45.2,28.6,113.5,27.2,64.0,6.47,74.0,grapes
80.5,39.2,38.1,14.4,66.4,6.73,84.9,wheat
27.3,55.1,29.6,32.1,73.8,6.73,73.7,mungbean
130.0,43.1,61.4,29.1,58.3,7.5,128.5,cotton
75.4,44.4,76.2,28.8,67.7,6.12,150.6,orange
134.8,53.9,86.9,31.1,54.4,6.2,109.3,cotton
32.3,61.2,44.8,22.3,58.2,6.64,84.2,kidneybeans
105.7,54.9,99.3,28.8,84.3,6.59,128.0,papaya
64.7,45.6,62.6,22.4,62.7,6.07,113.4,apple
55.5,44.8,49.7,32.3,54.6,7.36,105.7,pomegranate
98.9,54.9,69.6,23.7,81.5,6.09,254.2,rice
86.7,58.2,115.8,26.9,67.3,7.06,51.7,watermelon
83.3,53.7,82.8,34.1,73.5,6.22,161.8,papaya
89.7,48.7,77.1,20.6,66.8,7.32,180.2,orange
52.2,46.7,54.3,27.6,62.7,7.08,86.8,blackgram
66.8,32.2,66.2,16.8,66.9,6.13,134.4,apple
139.4,55.7,40.5,36.2,78.1,6.41,188.2,jute
76.3,49.8,67.2,26.0,74.0,6.45,153.6,orange
61.3,28.0,54.2,21.6,56.5,7.43,112.8,pomegranate
96.6,43.6,111.1,26.8,80.2,6.71,181.0,banana
76.9,48.0,96.5,23.5,70.4,5.72,200.8,coffee
93.0,47.6,63.7,25.1,85.0,5.91,269.4,rice
74.9,52.0,77.7,30.5,49.1,7.33,50.9,grapes
88.4,53.8,59.8,30.2,75.2,6.34,123.4,orange
62.9,29.6,46.7,31.5,61.2,7.2,102.5,pomegranate
44.2,18.0,71.0,30.5,68.3,7.24,167.6,mango
135.5,66.8,46.0,32.1,85.6,6.15,277.9,rice
98.2,53.7,53.6,26.3,84.1,6.27,206.4,jute
115.4,60.1,89.5,30.3,61.2,6.96,92.6,cotton
52.8,39.6,47.2,22.8,51.9,7.03,101.4,mango
25.4,44.5,28.9,16.4,48.7,6.5,69.7,lentil
28.1,54.3,38.4,32.3,70.5,6.95,93.2,blackgram
35.7,64.3,32.3,30.9,77.7,6.82,101.6,blackgram
130.3,61.6,55.6,34.3,81.0,5.68,251.0,jute
30.6,44.1,30.4,15.4,53.7,6.56,50.1,chickpea
109.2,39.5,101.2,28.1,92.5,6.66,191.5,banana
25.6,46.1,41.2,25.7,50.7,6.95,62.5,chickpea
28.7,39.9,32.8,24.9,57.5,6.83,87.0,mungbean
112.7,55.1,62.9,27.2,78.1,5.99,252.6,rice
79.3,62.7,95.6,31.7,62.9,6.83,58.2,watermelon
47.6,50.1,93.8,25.5,59.0,6.47,57.0,muskmelon
96.1,46.8,78.5,27.0,50.5,6.44,113.0,grapes
88.8,51.5,100.3,36.8,81.2,6.8,154.2,papaya
55.0,38.5,95.1,18.5,71.5,5.47,230.7,coffee
75.1,62.4,74.5,26.9,58.3,6.37,141.4,orange
52.0,41.2,71.1,14.4,67.0,6.14,138.3,apple
59.5,38.7,52.2,22.8,53.1,6.15,98.9,mango
124.4,51.0,88.0,28.8,78.2,6.37,147.8,banana
62.4,34.9,51.2,31.0,60.9,6.35,96.3,mango
108.5,46.1,73.8,25.4,86.3,6.42,214.2,rice
34.5,35.5,38.3,15.3,44.2,6.71,56.4,lentil
130.2,61.7,81.3,30.3,60.3,6.94,112.8,cotton
92.7,49.0,72.0,29.9,81.1,6.06,170.4,banana
38.6,43.5,37.5,20.4,57.2,7.61,60.4,chickpea
63.1,36.0,77.2,29.2,61.1,6.4,67.8,grapes
73.7,39.5,81.1,20.4,63.2,6.04,150.8,orange
70.3,30.9,131.6,36.7,79.4,6.09,201.0,coconut
83.8,48.0,50.2,28.4,89.4,6.18,263.3,rice
65.6,50.9,95.8,24.3,52.0,6.63,57.9,muskmelon
51.3,38.4,64.0,23.5,47.8,6.77,73.5,pomegranate
125.8,41.1,94.2,26.2,54.5,6.99,125.7,cotton
76.8,25.1,58.0,26.2,64.0,5.88,94.4,mango
92.7,46.7,49.8,24.7,67.9,6.16,89.3,maize
114.6,51.6,67.5,35.3,83.5,6.83,202.6,jute
53.4,40.8,67.1,22.3,73.3,5.68,119.0,apple
96.0,38.7,71.8,17.8,66.7,5.8,195.8,coffee
77.7,38.7,104.0,30.0,87.1,6.53,246.5,coconut
57.9,41.0,50.4,31.3,56.4,6.32,133.9,mango
30.8,33.2,29.2,17.6,55.9,6.42,58.2,chickpea
89.2,33.1,74.6,21.3,64.0,6.16,142.1,orange
141.2,46.1,79.1,29.7,90.7,6.97,238.3,jute
77.5,38.8,79.6,26.1,54.4,6.88,70.0,pomegranate
68.8,38.4,61.3,27.3,54.9,6.53,164.6,mango
50.6,29.0,123.3,28.9,92.8,7.04,181.1,coconut
35.8,42.0,30.2,30.6,71.4,6.7,95.9,blackgram
81.6,58.1,78.1,28.4,61.2,6.65,200.6,orange
77.4,65.6,92.8,25.0,58.5,6.41,49.6,muskmelon
91.0,63.3,99.8,27.6,75.5,6.81,139.0,papaya
31.0,44.6,24.8,15.5,48.6,7.05,45.4,lentil
103.6,60.5,78.9,28.6,67.4,6.59,136.2,papaya
108.2,51.8,45.7,23.7,61.9,6.25,93.2,maize
80.5,52.6,38.5,17.7,68.7,6.61,59.2,wheat
79.9,47.2,55.8,23.0,55.6,6.31,106.7,maize
132.3,53.7,81.3,34.6,59.1,6.55,125.7,cotton
34.8,42.6,37.9,23.5,68.5,6.43,78.2,mungbean
17.8,26.2,29.3,33.9,41.3,6.61,53.6,mothbeans
88.1,53.9,41.5,18.3,53.2,6.6,106.5,wheat
56.1,27.3,60.4,14.7,70.3,5.75,127.7,apple
70.2,41.8,70.8,22.3,61.7,6.35,130.7,apple
66.1,26.3,71.5,28.1,68.2,5.85,194.9,mango
75.2,34.0,59.2,32.3,57.6,6.43,95.6,pomegranate
14.7,49.8,28.1,21.8,58.2,6.87,68.0,chickpea
26.1,47.4,23.5,19.9,52.7,7.08,54.9,lentil
64.3,56.5,99.0,30.6,59.0,6.31,83.4,watermelon
33.6,49.0,34.7,23.1,58.1,7.06,104.6,pigeonpeas
97.4,44.1,74.8,31.6,79.7,6.65,151.0,papaya
131.2,60.8,75.1,26.8,60.4,6.13,65.9,cotton
96.7,25.9,114.7,28.4,86.4,6.5,212.0,coconut
29.3,81.3,39.2,25.3,68.9,6.49,120.1,kidneybeans
115.9,67.5,135.7,27.3,86.5,6.69,171.8,banana
80.4,52.8,83.6,24.4,69.8,6.76,130.0,orange
84.1,49.4,36.6,18.6,66.0,6.8,113.3,wheat
133.4,52.7,47.4,30.4,78.7,6.29,227.3,jute
77.0,43.3,93.3,36.2,64.4,6.77,82.5,grapes
25.8,20.0,26.0,30.4,53.2,7.09,30.1,mothbeans
23.3,38.8,23.1,18.4,58.8,7.04,57.4,chickpea
45.6,48.9,95.7,28.8,91.5,6.39,202.8,coconut
60.8,26.7,74.0,29.3,52.3,6.48,80.8,grapes
112.6,45.7,137.3,29.2,74.4,6.56,185.1,banana
17.1,55.3,36.6,26.1,62.9,6.67,88.6,pigeonpeas
105.4,62.7,59.4,31.2,81.8,6.52,167.7,jute
92.5,52.3,104.5,27.6,81.9,5.68,185.4,banana
78.6,29.0,84.4,34.7,62.6,6.85,79.5,pomegranate
127.2,54.0,104.8,33.0,80.8,6.61,190.8,banana
60.2,34.4,109.1,27.1,80.5,6.43,290.2,coconut
73.7,28.7,80.8,33.2,64.5,7.05,61.1,grapes
19.0,46.2,36.7,15.1,56.8,7.18,60.1,lentil
99.3,47.2,53.7,28.6,80.4,5.98,206.1,rice
105.1,52.8,124.0,28.9,78.6,7.0,161.9,banana
44.4,50.5,23.0,28.2,69.9,5.88,94.4,blackgram
56.8,55.4,88.1,21.5,81.9,5.28,206.3,coffee
35.2,44.5,31.4,25.4,50.3,6.58,67.3,chickpea
39.8,65.2,52.0,22.0,57.0,6.35,85.5,kidneybeans
74.7,55.1,74.0,25.7,57.6,7.06,139.4,orange
56.5,27.8,72.4,16.3,60.9,6.2,143.0,apple
72.3,24.8,126.0,24.4,95.5,6.79,206.8,coconut
54.8,50.0,107.6,27.4,83.4,5.32,187.7,coffee
121.7,59.0,70.7,25.4,60.5,6.77,85.2,cotton
85.9,66.0,100.5,28.7,54.7,6.79,49.0,watermelon
48.4,43.7,35.1,24.8,72.8,6.93,121.0,blackgram
45.1,53.3,36.9,27.6,75.9,7.06,77.8,blackgram
60.5,33.7,107.7,27.6,89.8,6.62,243.0,coconut
86.4,44.4,117.0,29.8,85.9,6.82,163.3,banana
56.8,42.5,62.7,31.6,58.0,7.81,79.0,pomegranate
55.1,49.6,69.5,19.1,81.2,5.8,200.1,coffee
34.4,45.4,33.8,20.2,41.5,7.44,40.0,chickpea
83.4,37.6,39.5,17.8,56.3,6.63,72.5,wheat
20.5,32.4,37.7,22.2,48.5,6.95,93.4,chickpea
85.5,47.0,40.6,14.1,55.3,6.13,55.4,wheat
38.7,45.8,23.3,32.8,62.6,6.4,98.1,pigeonpeas
25.9,61.1,28.7,36.8,73.3,6.68,49.5,mungbean
25.7,21.1,23.9,32.3,28.5,7.06,36.2,mothbeans
19.1,27.0,31.7,32.4,63.1,6.63,108.8,pigeonpeas
102.0,49.0,97.3,27.0,73.5,5.57,262.0,coffee
91.4,65.9,99.3,36.8,53.5,5.93,55.5,muskmelon
34.7,46.3,29.9,26.5,63.1,7.44,61.3,chickpea
140.1,55.1,99.3,25.8,87.2,6.39,206.9,banana
103.7,51.7,58.8,22.0,83.4,6.72,95.4,maize
33.2,36.5,45.4,32.0,71.8,6.87,69.7,mungbean
98.0,52.4,30.4,17.0,52.7,7.06,63.2,wheat
21.2,43.7,42.5,20.2,42.6,7.02,45.9,lentil
26.1,43.1,47.9,21.7,49.4,6.87,57.6,lentil
61.2,48.5,29.7,23.0,47.6,6.78,83.9,wheat
94.8,43.4,99.3,30.2,75.7,6.76,110.9,papaya
20.6,32.7,20.7,35.4,40.6,7.45,38.2,mothbeans
110.6,59.9,46.5,17.1,73.3,5.83,99.5,maize
40.5,46.6,43.1,26.9,66.2,7.1,65.8,mungbean
32.1,68.0,56.6,22.7,62.5,6.62,111.5,kidneybeans
36.6,44.5,24.7,29.4,67.9,6.62,78.3,blackgram
30.8,48.1,27.2,22.5,59.0,7.56,59.4,chickpea
78.9,23.3,148.9,27.7,86.1,5.86,222.8,coconut
33.4,35.7,24.1,15.4,61.6,6.54,44.7,lentil
35.3,55.9,30.2,32.5,78.7,6.73,82.9,blackgram
55.4,45.4,59.1,19.9,67.9,6.28,154.2,apple
106.3,56.5,127.9,30.0,76.5,6.43,178.6,banana
71.2,48.2,88.4,33.5,63.9,7.07,54.8,watermelon
39.1,50.1,73.4,26.9,48.8,7.79,113.2,pomegranate
29.6,44.0,37.9,29.0,75.7,7.27,87.9,blackgram
37.3,52.3,26.3,23.0,58.5,7.23,52.9,chickpea
33.9,46.6,39.4,23.3,44.8,7.31,58.0,chickpea
90.2,53.8,55.7,21.8,69.2,6.1,95.1,maize
59.3,33.7,65.3,10.6,69.6,6.37,95.2,apple
103.2,52.3,126.1,26.9,80.7,6.43,179.6,banana
21.6,22.5,30.3,14.9,50.2,6.87,54.4,lentil
63.1,34.9,64.7,29.8,53.8,6.54,118.2,mango
54.5,40.2,61.8,20.6,69.7,6.64,127.6,apple
72.7,48.7,119.7,29.6,83.1,5.52,168.1,coconut
36.7,51.0,39.5,21.5,62.5,6.5,126.6,kidneybeans
54.1,41.1,127.6,23.8,90.3,6.83,251.1,coconut
95.2,57.5,85.8,30.7,74.4,6.69,214.2,papaya
25.7,30.8,22.2,30.6,44.8,6.87,51.8,mothbeans
27.6,51.1,35.7,29.4,53.5,5.95,67.3,chickpea
35.9,35.7,36.4,19.1,71.2,5.74,73.8,pigeonpeas
114.2,42.1,121.1,22.8,92.9,6.35,178.9,banana
98.1,52.3,83.9,30.5,83.1,6.7,152.5,papaya
117.2,53.8,83.5,25.3,65.4,6.82,94.4,cotton
21.0,55.5,27.9,11.6,63.3,6.62,38.9,lentil
21.9,32.7,34.9,21.4,64.6,7.2,71.0,chickpea
64.9,53.1,89.1,30.7,75.2,6.73,56.2,watermelon
91.5,51.2,48.1,22.2,67.8,6.72,82.6,maize
35.9,46.9,31.9,32.2,51.1,6.64,86.8,pigeonpeas
76.0,51.8,52.8,28.8,79.3,6.6,81.8,maize
31.9,33.9,31.9,16.9,41.4,7.13,57.5,lentil
23.4,35.7,30.7,17.5,49.5,7.33,64.0,lentil
87.6,60.0,96.4,30.1,74.1,6.71,146.1,papaya
22.0,45.4,45.9,29.4,52.9,6.68,78.8,chickpea
110.2,41.0,124.1,33.6,86.0,7.34,190.4,banana
80.1,57.6,63.8,28.4,88.7,6.29,239.6,rice
39.7,55.6,35.1,30.8,78.6,6.83,96.4,blackgram
108.8,46.0,123.8,28.5,82.2,6.52,186.6,banana
32.8,35.4,23.7,11.9,55.2,6.85,47.6,lentil
102.5,47.1,80.5,34.9,52.0,6.64,93.6,cotton
81.0,51.7,101.3,32.2,69.3,6.69,150.9,papaya
54.1,44.8,117.9,29.3,88.4,6.89,206.3,coconut
38.7,50.9,39.4,29.1,74.8,6.34,88.9,blackgram
87.7,31.6,26.7,18.3,73.1,6.79,63.8,wheat
104.1,55.8,68.1,28.1,82.1,6.81,213.1,jute
52.1,31.4,72.7,28.4,57.2,5.83,171.8,mango
119.3,66.9,73.8,32.9,88.7,6.57,229.5,jute
115.8,63.2,65.8,24.7,84.8,6.78,219.7,jute
56.3,48.5,76.4,28.5,59.0,7.0,48.4,muskmelon
42.5,43.1,36.0,22.2,55.7,6.69,95.6,chickpea
82.7,44.4,40.8,23.5,71.7,5.88,60.7,wheat
28.7,40.1,35.2,24.1,57.5,6.59,112.1,pigeonpeas
107.0,52.3,59.1,29.6,83.0,6.19,186.8,jute
67.6,39.7,74.1,10.1,63.1,6.83,111.3,apple
22.1,46.9,40.2,32.7,70.0,6.33,87.2,mungbean
126.8,47.6,72.3,29.3,56.6,7.51,85.7,cotton
124.6,54.0,130.9,30.8,79.5,6.17,150.0,banana
23.9,55.8,25.7,29.6,68.7,6.36,94.1,pigeonpeas
54.7,37.0,73.0,39.9,63.5,6.17,163.6,mango
71.9,54.2,88.4,23.1,58.9,6.3,81.7,grapes
76.1,65.6,84.5,25.8,55.5,6.62,73.4,watermelon
114.0,54.4,49.9,24.5,83.0,6.88,85.0,maize
63.4,35.0,78.1,14.0,73.7,6.15,123.2,apple
73.5,44.0,94.5,21.7,78.5,6.03,209.0,coffee
108.5,66.2,77.6,29.7,63.9,7.46,76.0,cotton
53.2,42.1,76.7,21.2,56.1,6.67,139.7,apple
32.3,45.0,41.9,28.3,65.7,6.89,83.3,mungbean
126.2,52.9,33.5,16.8,65.3,6.08,106.7,wheat
39.9,57.2,50.3,20.9,75.7,7.08,101.4,kidneybeans
103.0,54.6,85.7,29.4,73.5,5.43,260.2,coffee
77.1,31.4,96.5,29.9,67.3,7.2,57.8,grapes
32.3,54.1,22.5,30.1,69.0,7.02,72.0,mungbean
37.9,73.7,32.5,21.0,69.5,6.31,90.0,kidneybeans
146.9,58.4,90.7,23.2,54.2,6.8,76.2,cotton
25.0,26.9,22.2,26.9,42.7,6.44,57.2,mothbeans
63.0,41.6,50.4,27.1,62.0,6.45,59.0,maize
93.4,38.7,34.9,16.9,47.5,6.95,105.7,wheat
60.1,34.3,60.3,34.6,63.0,5.93,144.8,mango
96.8,47.6,47.4,21.4,52.5,7.17,107.0,wheat
65.7,34.0,79.8,23.0,56.3,6.62,80.5,grapes
13.5,48.6,42.2,22.4,53.3,6.87,59.1,chickpea
76.9,63.8,105.6,29.0,66.3,6.3,60.4,watermelon
33.9,60.4,42.0,26.4,61.7,6.54,72.1,kidneybeans
109.7,43.0,71.2,28.4,68.0,6.63,83.7,cotton
55.4,42.4,54.2,26.7,57.0,6.24,102.2,mango
96.4,49.4,67.6,24.3,79.5,6.5,200.9,rice
21.0,66.0,39.7,18.4,46.4,6.85,57.0,chickpea
73.8,28.7,62.9,29.2,59.3,7.01,84.1,pomegranate
69.7,30.0,73.4,26.5,45.7,7.12,58.0,grapes
123.6,36.0,59.3,23.9,86.3,5.83,243.3,rice
89.2,52.1,60.6,28.4,73.8,6.94,80.6,maize
77.3,74.0,94.0,29.3,73.5,6.37,141.0,papaya
67.4,54.5,62.4,25.8,68.8,7.14,128.6,orange
27.8,45.7,32.9,31.0,59.2,6.79,82.5,blackgram
52.8,40.9,108.1,29.7,89.2,6.0,214.1,coconut
46.2,44.9,31.4,28.6,71.3,6.8,105.5,pigeonpeas
50.0,32.1,45.9,30.9,63.5,6.6,143.3,mango
36.0,37.0,124.2,30.2,88.8,6.15,229.9,coconut
82.7,68.9,112.9,33.3,69.6,6.29,68.8,watermelon
121.0,43.9,54.4,29.4,83.6,5.39,247.4,rice
76.8,58.3,116.7,25.3,89.8,6.61,200.1,banana
105.5,41.3,69.2,24.2,66.8,7.32,87.1,maize
21.4,42.5,26.1,19.9,57.0,6.74,71.3,chickpea
51.7,30.9,87.0,21.3,60.7,7.42,55.3,grapes
103.4,54.6,97.9,30.9,86.4,6.84,183.8,banana
76.2,58.4,103.5,25.3,70.0,6.59,49.0,watermelon
30.7,33.3,42.4,23.6,43.3,7.28,67.0,chickpea
101.4,53.3,40.7,18.9,65.0,6.97,115.2,wheat
23.1,35.3,24.0,31.7,44.8,6.94,45.9,mothbeans
87.7,64.2,87.6,31.0,68.8,6.24,56.7,watermelon
114.5,56.5,65.9,25.8,81.0,5.69,196.5,rice
95.3,56.1,52.0,26.6,87.6,6.12,228.9,rice
91.8,43.9,32.4,22.3,57.5,7.65,62.4,wheat
67.5,52.2,77.3,31.7,58.5,6.99,101.0,pomegranate
22.4,36.7,40.0,18.9,46.5,7.13,56.7,lentil
62.4,62.9,90.6,34.8,64.1,6.63,48.9,watermelon
123.1,50.9,59.7,26.8,73.3,6.55,240.5,jute
94.2,36.1,74.3,31.6,82.0,6.63,259.7,jute
34.2,42.7,25.1,28.0,55.4,7.25,53.2,chickpea
31.3,65.0,34.9,23.2,63.8,6.89,101.1,kidneybeans
64.8,35.1,69.3,27.9,45.2,6.53,71.0,pomegranate
23.2,50.4,49.0,31.7,68.6,6.28,78.2,mungbean
82.4,43.9,53.6,21.9,56.8,6.08,94.5,maize
63.3,35.3,97.8,21.7,67.5,5.92,186.1,coffee
65.9,37.5,59.4,18.0,60.7,6.55,142.9,apple
113.0,77.0,94.1,31.5,51.3,6.77,80.4,cotton
34.8,51.3,39.7,28.9,75.8,6.67,83.7,blackgram
51.0,44.7,93.9,22.2,48.4,7.57,101.9,grapes
77.7,31.5,57.2,32.5,72.4,6.46,139.1,mango
24.4,46.3,38.1,23.2,55.0,6.07,103.8,pigeonpeas
22.5,48.0,38.2,25.1,65.6,6.56,84.3,mungbean
22.9,62.0,31.3,25.3,52.3,5.91,85.4,chickpea
165.0,53.6,57.1,26.7,79.2,6.71,240.5,jute
32.5,58.6,35.3,16.8,56.0,7.12,78.0,chickpea
82.7,41.5,68.7,24.1,64.7,6.24,55.1,muskmelon
109.1,53.2,54.3,24.2,54.3,6.31,114.1,maize
30.6,42.3,36.7,25.8,63.9,6.54,108.1,pigeonpeas
26.2,55.8,44.2,31.2,57.9,7.65,83.1,mungbean
98.8,58.5,59.5,28.3,90.6,6.56,190.3,rice
83.1,55.4,93.1,32.2,71.0,6.03,164.1,papaya
33.2,41.9,35.2,17.5,48.5,7.29,49.5,lentil
63.0,37.3,92.6,16.0,62.7,6.34,132.3,apple
98.9,53.6,78.7,36.7,80.5,6.14,256.4,jute
22.5,48.4,54.4,23.3,68.4,7.01,63.0,kidneybeans
116.7,50.7,74.9,28.6,55.6,7.17,121.6,cotton
14.9,53.4,43.0,19.8,46.6,6.53,48.6,lentil
65.0,28.7,67.9,33.5,55.2,7.14,183.0,mango
23.5,46.6,25.6,20.9,47.3,6.45,41.9,lentil
105.0,64.0,52.2,33.2,83.7,6.07,226.1,jute
66.9,46.5,56.6,32.8,63.6,6.27,130.6,mango
55.4,37.4,78.2,24.3,48.7,7.55,122.4,pomegranate
19.6,26.8,20.3,28.0,44.2,6.64,56.0,mothbeans
21.1,33.8,46.1,19.9,50.7,7.0,45.7,lentil
74.8,51.6,49.4,17.9,62.6,6.92,107.1,wheat
109.9,42.0,55.2,31.4,79.9,6.39,187.1,jute
58.1,33.0,127.4,25.7,84.7,5.69,214.7,coconut
72.2,52.3,86.2,17.6,80.7,5.69,243.5,coffee
127.5,37.3,126.9,31.2,75.6,7.15,148.9,banana
81.6,40.2,42.2,17.3,57.0,6.75,64.4,wheat
26.3,54.2,33.9,27.0,55.3,6.72,84.7,mungbean
18.0,38.5,24.8,36.0,35.4,7.24,32.6,mothbeans
30.3,33.6,30.3,20.8,57.6,6.25,39.2,lentil
117.8,56.8,83.5,32.4,55.8,5.98,79.4,cotton
