N,P,K,temperature,humidity,ph,rainfall,crop
22.0,54.9,33.9,21.2,37.8,6.72,627.8,lentil
54.0,57.8,40.2,19.1,59.1,6.7,949.0,wheat
133.6,48.1,32.2,22.1,56.4,6.5,1051.7,maize
96.7,42.2,44.2,18.9,52.3,7.19,1131.7,wheat
24.0,33.7,41.7,28.5,71.5,7.1,1136.2,mungbean
80.8,38.0,54.2,31.1,49.9,7.04,1485.2,mango
89.2,49.8,63.0,27.0,89.0,6.32,3653.3,rice
71.9,39.1,49.5,31.8,65.2,6.75,1350.7,mango
23.6,51.7,43.9,18.9,58.9,6.92,686.2,chickpea
69.0,39.6,123.7,27.6,89.5,6.05,2686.4,coconut
20.2,26.9,17.7,31.6,40.7,6.95,511.1,mothbeans
22.3,50.3,32.1,19.9,44.0,6.6,532.8,lentil
75.5,51.4,45.8,18.1,47.5,6.77,990.9,wheat
101.9,38.1,65.6,27.0,81.6,6.29,1999.5,rice
43.9,44.9,52.1,34.6,64.8,7.18,2226.1,mango
15.3,42.8,27.5,13.8,54.9,5.95,792.7,lentil
53.9,53.2,43.9,20.5,68.7,7.03,1350.4,kidneybeans
63.8,38.6,67.2,22.9,68.6,6.25,1859.2,apple
108.4,61.2,116.2,28.3,74.4,6.14,1515.5,papaya
34.4,60.5,34.3,34.2,69.3,7.16,876.6,mungbean
75.0,65.8,115.9,27.5,64.0,6.33,813.0,watermelon
86.7,51.9,67.9,24.3,63.3,6.15,1891.7,orange
88.0,42.7,37.6,21.5,68.4,6.79,996.1,wheat
53.2,37.8,67.4,31.2,68.9,6.93,1498.7,mango
107.0,60.2,97.1,30.7,71.0,6.67,1547.3,papaya
60.7,35.2,67.2,30.4,73.5,6.48,926.0,grapes
83.5,42.4,75.1,18.9,46.6,7.17,749.0,grapes
37.6,36.7,72.7,16.1,72.1,6.11,1785.3,apple
101.8,63.6,71.3,27.5,60.0,6.31,1132.4,cotton
48.0,34.8,74.0,20.5,81.6,6.6,1579.6,apple
116.8,63.0,68.9,33.0,85.6,6.35,2221.7,jute
57.8,38.0,64.8,31.8,61.9,7.0,2191.1,mango
74.2,42.4,97.3,20.3,67.9,6.56,904.7,grapes
54.4,31.4,84.9,22.8,55.5,7.18,962.9,grapes
17.6,47.4,29.1,18.4,55.4,7.07,753.7,chickpea
70.8,35.7,84.5,25.4,78.7,6.57,1554.1,orange
42.9,22.6,48.6,31.6,66.7,6.25,2162.4,mango
71.3,42.3,90.7,29.5,67.2,6.68,675.0,watermelon
98.5,50.6,57.9,29.0,91.1,5.5,2772.1,rice
29.6,42.9,31.2,35.7,61.7,7.25,1160.1,mungbean
32.1,41.1,34.7,19.1,48.7,7.23,957.7,chickpea
28.3,38.8,34.4,24.8,54.0,6.95,918.0,chickpea
58.4,18.0,122.5,30.7,88.2,6.15,2281.3,coconut
116.5,47.8,70.0,32.5,83.3,6.35,2668.1,jute
33.2,65.3,35.6,26.9,63.6,6.64,1118.7,blackgram
121.8,62.9,57.6,26.4,87.4,6.8,2052.4,rice
112.5,50.7,46.3,24.9,89.1,6.31,2521.5,rice
127.2,64.5,68.4,26.8,56.8,6.55,1311.8,cotton
102.9,33.6,108.7,28.3,84.7,6.34,2442.0,banana
72.9,57.1,122.9,28.1,65.0,6.59,586.3,watermelon
21.0,42.2,28.2,25.0,52.1,6.31,705.2,lentil
57.3,36.0,56.3,20.7,72.1,6.62,1389.6,apple
134.5,73.4,46.7,28.3,83.8,6.2,3528.7,jute
38.3,32.1,131.3,25.3,86.2,5.86,2081.2,coconut
66.0,49.5,135.6,25.3,78.4,6.23,2022.9,coconut
83.5,51.1,55.1,24.4,65.1,6.91,931.4,maize
98.2,45.6,75.1,35.7,87.0,6.24,2882.4,jute
57.6,33.7,69.5,31.7,44.3,6.43,1031.0,pomegranate
62.7,31.5,97.4,36.3,68.2,7.06,1002.3,grapes
59.9,36.9,71.3,32.6,72.3,6.54,1633.2,mango
105.6,61.8,71.2,25.6,76.0,6.28,2456.3,rice
59.3,61.9,111.0,24.0,67.0,6.65,794.4,watermelon
131.0,54.9,67.1,24.0,69.7,6.45,1539.0,maize
39.7,37.2,41.6,27.2,61.3,7.39,1051.0,mungbean
74.6,49.8,72.9,21.8,79.4,5.95,1659.5,orange
99.6,49.0,81.2,36.2,71.0,6.78,899.6,cotton
24.7,26.8,21.2,19.0,55.9,7.19,527.9,lentil
37.2,68.4,47.1,15.2,68.7,7.01,1168.2,kidneybeans
68.2,55.1,70.2,22.3,62.6,6.0,2029.9,orange
49.6,59.5,31.2,24.5,63.1,6.44,1108.6,kidneybeans
116.6,52.4,54.0,25.6,87.6,5.94,2182.1,rice
77.8,28.5,63.6,27.9,64.6,6.15,1727.1,mango
75.1,38.7,74.2,27.9,56.1,7.04,1140.2,grapes
54.3,52.6,67.4,34.6,59.3,7.37,1325.7,pomegranate
135.3,48.5,102.4,30.2,82.8,6.37,2355.4,papaya
115.4,53.7,69.1,25.9,84.4,5.98,2764.4,rice
65.4,38.0,58.9,27.9,69.2,6.19,1854.8,mango
68.2,55.2,92.3,27.4,53.5,6.98,698.1,muskmelon
27.3,44.0,40.8,19.6,52.6,7.48,893.7,lentil
50.9,40.8,58.9,37.6,61.5,6.36,2060.3,mango
87.5,44.7,65.1,26.1,84.1,6.15,1948.3,rice
104.1,60.3,69.5,33.5,78.4,6.69,2678.5,jute
41.6,37.6,74.0,9.5,61.9,6.52,1612.1,apple
65.4,66.4,97.8,26.7,55.0,6.58,602.8,muskmelon
64.6,36.1,71.5,17.7,60.6,6.29,2057.2,apple
45.0,48.4,95.1,22.8,76.0,5.46,2700.9,coffee
125.3,56.2,57.9,28.6,82.6,6.39,2772.5,rice
31.1,50.0,37.4,28.8,75.9,6.61,903.3,blackgram
105.6,54.0,66.7,27.4,80.9,6.11,2641.3,rice
46.9,26.6,57.2,10.9,69.4,6.48,1893.5,apple
62.4,53.4,82.4,35.2,47.3,6.24,1212.3,pomegranate
72.0,62.4,75.8,28.7,64.8,6.89,894.0,cotton
51.7,39.3,91.4,24.7,53.4,6.42,540.0,grapes
30.4,47.3,32.5,28.2,74.7,7.17,980.7,blackgram
121.7,72.8,56.2,25.8,85.4,6.52,2141.5,jute
40.4,49.3,30.4,31.2,67.2,6.55,950.4,blackgram
33.6,40.6,35.2,28.5,68.2,6.4,1080.8,blackgram
22.7,33.7,44.1,20.0,52.6,6.73,805.8,lentil
114.7,58.0,80.9,20.9,52.4,6.68,1039.5,cotton
137.3,41.2,58.4,24.0,81.6,5.78,2708.2,rice
29.3,71.5,33.9,17.0,64.9,7.1,1082.4,kidneybeans
99.0,53.5,67.2,24.7,82.2,6.42,2686.9,jute
75.0,40.4,125.5,24.2,83.1,6.56,2977.0,coconut
117.6,51.5,93.8,27.9,72.6,7.12,1073.0,cotton
130.1,58.8,95.6,29.0,69.5,7.19,1576.6,papaya
113.7,56.8,84.4,30.3,80.6,6.38,1850.4,papaya
59.2,35.1,63.5,31.3,56.3,7.09,1348.4,pomegranate
67.7,42.1,70.1,29.6,55.4,6.38,874.6,grapes
34.4,57.9,35.8,21.0,47.4,6.83,659.0,chickpea
28.8,34.9,31.9,25.0,50.3,7.13,649.3,mothbeans
42.4,23.8,57.4,32.8,48.4,6.75,1996.3,mango
118.1,52.9,81.3,27.0,63.2,7.44,946.8,cotton
82.0,35.9,69.5,21.5,70.5,6.95,2025.6,orange
23.3,40.7,25.7,29.8,67.4,6.92,874.2,mungbean
85.3,55.6,87.7,28.1,71.0,6.36,1520.6,papaya
115.4,49.0,51.7,22.4,66.9,6.45,1197.6,maize
29.8,34.4,36.1,17.8,58.9,6.55,708.3,lentil
98.3,46.9,90.3,33.0,60.4,6.46,494.4,muskmelon
82.7,62.0,73.1,27.5,57.4,6.58,763.4,muskmelon
65.7,36.0,111.5,29.6,86.4,6.61,2421.7,coconut
95.7,54.7,56.6,26.9,81.8,6.24,2963.1,rice
62.2,51.1,102.2,18.5,77.4,5.37,2790.1,coffee
89.5,57.1,97.7,32.7,64.0,6.42,603.6,muskmelon
116.9,54.3,52.3,39.9,86.1,6.16,2673.8,jute
118.5,42.4,120.5,28.2,82.9,6.65,1929.8,banana
96.5,56.0,68.1,21.6,66.8,6.26,1314.6,maize
24.5,47.9,48.1,14.2,70.4,6.97,1010.4,kidneybeans
118.9,52.3,47.4,24.4,81.1,6.33,2298.3,rice
73.7,60.3,97.3,23.7,72.7,5.73,1620.0,coffee
86.6,36.6,94.8,29.5,80.3,5.82,2042.9,banana
16.2,17.7,26.2,31.0,46.5,7.13,537.7,mothbeans
52.4,45.5,75.2,28.2,43.9,7.43,1280.3,pomegranate
17.3,28.2,25.6,34.3,45.3,7.05,574.4,mothbeans
99.1,45.7,91.1,19.1,71.3,5.61,2038.3,coffee
28.8,60.3,35.4,32.4,61.2,6.9,975.1,pigeonpeas
60.3,32.0,58.6,33.3,62.5,6.56,1968.2,mango
26.8,46.7,39.3,28.9,58.6,6.55,920.9,pigeonpeas
85.7,55.2,50.5,27.9,64.4,6.79,1365.0,maize
99.8,61.2,72.0,28.4,84.8,5.87,3712.9,rice
59.5,55.4,99.4,24.0,66.7,6.67,746.7,muskmelon
38.5,31.1,30.9,37.5,34.1,6.88,410.8,mothbeans
28.9,56.6,38.1,23.6,67.1,6.28,1159.6,kidneybeans
82.7,54.9,95.4,26.3,59.9,6.75,748.4,muskmelon
85.9,61.2,58.5,22.4,64.0,5.95,782.9,maize
27.3,53.8,52.8,28.6,66.6,5.88,1181.2,blackgram
36.3,40.9,33.2,30.8,57.4,6.77,1042.8,pigeonpeas
95.1,51.9,117.5,31.6,85.8,6.54,2760.5,coconut
82.8,55.7,100.6,26.4,81.7,6.42,2038.1,banana
39.6,48.4,36.1,23.8,79.2,6.81,1114.8,blackgram
56.7,36.8,71.0,16.2,70.3,6.59,1860.2,apple
101.5,56.0,137.2,26.4,84.7,6.51,2097.1,banana
64.0,36.0,87.1,27.1,67.1,6.97,558.8,watermelon
87.5,50.9,58.9,33.6,58.0,6.58,1049.2,maize
56.9,36.1,94.2,23.5,48.4,6.58,840.2,grapes
108.1,63.8,100.8,28.5,79.5,6.38,1404.4,papaya
119.2,40.8,34.5,16.4,59.8,7.33,731.6,wheat
22.5,40.7,43.4,23.9,48.5,7.42,589.7,lentil
110.2,64.1,56.6,25.9,86.7,6.29,3190.7,rice
19.0,41.6,34.7,17.2,45.9,7.47,762.1,lentil
79.0,46.6,30.3,16.8,59.5,6.84,654.5,wheat
75.0,48.5,123.5,31.4,83.0,6.38,2020.9,coconut
41.1,72.6,42.7,22.5,66.1,6.93,799.1,kidneybeans
31.7,44.0,32.7,32.5,62.8,6.82,830.9,mungbean
40.8,41.9,80.8,32.7,61.9,6.62,1304.0,grapes
99.5,49.5,53.4,19.9,67.0,6.6,1220.4,maize
108.9,68.7,61.1,34.2,78.2,6.76,2578.4,jute
99.9,51.1,64.8,28.4,67.1,6.95,1013.9,maize
104.8,49.7,60.0,22.3,62.7,6.55,1427.2,maize
97.3,49.2,55.5,25.5,89.3,6.34,1660.7,rice
125.4,54.5,99.8,31.0,80.4,6.53,1507.8,papaya
84.1,46.8,101.3,28.0,79.0,6.78,1927.2,banana
31.9,31.6,36.8,27.9,72.7,6.76,795.5,mungbean
26.5,53.6,35.8,24.7,58.6,5.7,1041.4,pigeonpeas
94.1,66.8,86.5,24.5,75.8,6.46,2347.5,orange
93.6,49.9,87.7,28.1,56.2,6.69,893.9,cotton
76.1,40.6,113.1,32.8,63.6,6.56,592.7,muskmelon
17.3,23.5,18.1,26.1,39.1,7.3,711.5,mothbeans
117.2,53.5,52.0,25.4,87.9,6.2,3041.0,rice
57.6,32.8,54.0,17.5,77.6,6.22,1710.2,apple
119.3,48.0,79.6,22.0,79.7,7.02,1515.0,papaya
35.9,40.4,30.1,28.3,64.6,6.87,1009.8,blackgram
63.4,47.8,89.6,22.2,71.6,6.4,817.6,muskmelon
78.6,33.0,58.6,28.2,62.5,6.79,1530.7,mango
104.4,49.2,122.3,30.0,84.8,6.0,2575.5,banana
104.5,52.4,117.8,30.9,75.8,6.9,2310.0,banana
124.3,39.7,42.8,16.7,70.1,7.05,1018.1,wheat
108.5,51.7,46.4,32.1,65.0,6.78,1016.1,maize
72.2,51.4,70.8,24.6,57.6,6.48,540.1,muskmelon
38.6,65.2,47.0,21.0,76.4,6.64,1042.2,kidneybeans
71.5,53.4,107.9,23.4,45.9,6.11,550.4,grapes
36.6,35.9,84.4,17.6,63.0,6.75,1275.8,grapes
62.1,51.5,83.0,16.8,70.4,5.29,3012.7,coffee
127.4,52.2,75.4,25.6,79.8,6.13,2205.1,rice
109.1,61.6,42.6,23.2,65.4,6.79,783.2,maize
73.2,47.6,80.8,22.6,77.2,5.57,1892.6,coffee
77.1,56.4,86.1,34.0,63.8,6.66,847.5,watermelon
63.9,30.6,80.0,28.5,58.1,6.72,715.5,grapes
106.8,56.1,83.7,24.0,79.4,6.46,1699.7,papaya
121.9,71.4,55.2,30.9,86.0,6.72,2595.2,jute
71.7,34.8,97.3,27.4,79.5,6.9,2331.1,coconut
58.9,37.0,68.2,31.8,65.5,6.57,1398.8,mango
39.6,47.0,26.6,25.6,50.8,6.95,562.8,chickpea
37.9,39.3,30.1,26.7,62.2,6.99,1060.7,pigeonpeas
98.3,45.9,134.8,28.4,76.2,7.03,1936.4,banana
53.0,42.6,105.7,29.1,86.3,6.28,2390.2,coconut
43.5,37.2,34.1,19.0,53.1,5.39,1409.8,pigeonpeas
39.8,35.3,33.5,24.9,75.9,6.06,925.2,blackgram
70.9,39.7,89.5,34.9,49.0,6.75,1376.8,pomegranate
106.3,33.5,54.8,20.7,60.0,6.65,1017.7,maize
104.4,56.2,110.2,32.0,87.7,6.82,2282.1,banana
29.7,37.0,47.2,30.3,72.1,6.4,917.4,mungbean
13.2,19.7,36.7,29.5,41.3,7.08,609.0,mothbeans
69.1,53.6,108.0,19.2,81.0,5.49,2651.4,coffee
71.0,57.7,73.1,27.4,65.7,6.34,880.7,maize
103.6,63.9,59.9,30.8,52.7,7.52,1114.7,cotton
102.8,56.6,70.4,25.6,80.3,5.75,2327.0,rice
42.4,66.3,49.0,19.4,75.7,6.89,915.0,kidneybeans
63.5,32.0,92.8,34.1,55.0,6.55,1099.9,grapes
68.8,33.5,62.8,31.0,62.6,7.2,1187.4,grapes
68.0,55.4,49.6,30.8,51.7,7.14,1421.2,pomegranate
14.5,35.0,23.3,17.1,40.1,6.76,590.3,lentil
107.9,47.7,124.9,27.9,89.2,6.25,1885.4,banana
70.1,42.3,79.9,25.6,60.3,6.53,1417.8,orange
35.5,48.2,18.0,22.3,50.8,6.07,939.3,chickpea
33.6,67.0,36.9,25.6,62.2,6.89,992.8,blackgram
125.3,59.6,59.8,34.3,88.2,6.29,2802.4,jute
99.3,37.5,53.6,21.5,62.8,6.94,1199.5,maize
84.8,55.3,114.7,15.9,78.1,5.72,1620.0,coffee
124.7,40.3,85.0,29.9,84.7,5.94,1436.7,banana
72.6,41.2,66.2,26.5,59.8,6.58,2018.1,mango
116.3,48.6,36.8,24.6,81.7,6.08,1986.5,rice
63.1,41.6,89.1,29.1,82.8,6.67,3182.0,coconut
80.2,44.7,68.4,19.1,72.7,5.61,1750.3,coffee
85.5,48.5,76.4,27.2,49.4,7.1,1056.3,grapes
71.1,53.5,121.5,28.8,71.9,6.63,777.6,watermelon
43.4,31.2,56.0,32.0,61.8,6.43,1701.6,mango
115.1,48.0,41.0,23.6,73.4,6.72,1368.4,maize
69.0,56.4,82.3,26.8,65.9,6.7,703.5,muskmelon
86.8,58.1,97.7,25.3,54.2,7.06,761.4,muskmelon
35.7,46.7,26.0,24.3,54.2,7.19,606.9,chickpea
64.8,38.7,63.0,34.9,54.1,6.94,1709.5,mango
74.7,54.2,101.7,24.5,64.7,6.28,682.1,watermelon
69.4,49.0,84.7,29.9,71.8,6.44,1915.6,orange
29.9,27.0,33.0,30.2,67.3,6.35,1060.7,mungbean
123.1,44.8,69.8,28.1,82.7,6.65,1047.4,maize
97.7,57.1,107.4,23.7,57.7,6.95,807.1,watermelon
62.8,48.7,62.6,22.3,70.9,6.59,1675.9,apple
55.6,40.8,69.0,16.2,67.3,6.29,1388.3,apple
71.8,38.0,93.6,23.0,81.6,5.89,2482.1,coffee
97.7,51.9,51.7,19.6,69.2,6.59,1236.0,maize
75.3,40.9,70.1,28.1,58.6,7.83,1209.1,pomegranate
121.5,61.2,68.1,35.2,72.2,6.32,2726.1,jute
62.6,43.7,76.8,29.1,65.2,6.55,639.7,muskmelon
33.5,64.1,28.1,18.7,73.8,6.53,1222.2,kidneybeans
28.6,34.8,37.5,16.3,46.0,7.06,595.6,lentil
121.3,73.5,62.0,26.0,86.1,6.33,2948.1,rice
117.0,46.3,61.7,25.2,85.3,6.55,2969.1,rice
59.4,25.5,67.9,38.0,60.3,6.68,2398.2,mango
138.0,59.2,125.4,32.7,78.6,6.53,2493.5,banana
19.6,31.3,24.9,32.3,41.1,6.84,601.7,mothbeans
109.9,45.8,76.2,31.6,88.7,6.17,1679.8,papaya
65.9,49.8,59.1,21.2,68.1,6.57,1727.4,apple
39.3,46.5,36.2,32.1,63.3,6.59,1161.2,blackgram
83.8,35.5,76.3,26.5,75.3,5.66,2668.5,coffee
76.2,47.2,85.4,20.2,62.6,6.67,643.6,grapes
36.8,53.2,42.5,20.9,53.8,6.46,1143.8,kidneybeans
60.6,41.9,60.1,32.2,55.5,7.34,1165.1,pomegranate
92.1,41.3,38.0,25.2,64.6,6.62,693.9,wheat
100.8,54.2,105.7,26.2,83.8,5.92,2618.8,banana
103.5,56.3,41.7,21.6,64.1,5.95,1228.2,wheat
67.3,51.5,52.6,25.8,71.6,6.35,1723.2,orange
24.5,36.0,44.8,27.3,62.6,6.67,1571.7,pigeonpeas
54.4,34.6,74.3,27.2,49.1,7.22,1625.2,pomegranate
77.8,59.6,35.4,26.2,69.4,6.89,748.6,wheat
47.0,37.3,67.6,14.1,58.3,6.35,1788.8,apple
27.8,45.9,36.4,16.4,59.8,6.91,672.7,lentil
90.8,49.6,102.6,28.6,80.6,6.91,1588.9,papaya
61.9,37.8,59.7,13.2,59.5,6.68,1579.5,apple
104.6,55.5,58.1,22.5,78.0,5.87,2962.6,rice
86.3,52.2,35.1,23.0,60.4,7.03,1007.6,wheat
71.9,61.7,105.4,32.1,68.8,6.81,701.2,watermelon
69.8,43.6,41.8,24.2,54.1,7.58,901.8,wheat
42.4,43.8,38.6,22.5,50.8,6.96,986.6,chickpea
35.6,45.2,43.9,26.6,49.8,7.06,1222.3,pigeonpeas
89.9,51.5,59.9,23.9,65.2,6.82,919.3,cotton
77.2,56.7,84.1,30.2,60.5,6.92,780.6,watermelon
62.8,36.4,65.4,31.2,58.1,6.68,1023.6,mango
71.3,32.9,70.9,26.0,56.6,7.04,823.2,grapes
40.2,62.1,45.9,17.9,65.0,6.47,1463.9,kidneybeans
109.9,54.0,75.3,30.3,50.9,7.08,1007.3,cotton
61.5,39.4,59.2,29.0,68.9,7.25,1627.4,mango
69.6,40.6,81.5,37.9,45.3,6.5,1030.1,grapes
68.4,57.4,111.7,21.5,74.8,5.37,2588.0,coffee
70.9,50.1,38.5,13.0,56.1,6.78,1319.7,wheat
36.2,44.5,43.9,29.5,63.1,6.89,905.4,mungbean
59.0,41.4,101.7,31.4,85.2,6.39,2426.1,coconut
46.0,57.5,27.5,31.8,75.6,6.46,780.0,blackgram
92.9,51.5,87.8,28.1,81.0,6.06,2466.4,banana
74.6,47.3,59.7,18.2,59.2,6.54,1485.1,orange
128.4,52.1,86.4,28.7,61.5,7.74,1414.3,cotton
111.2,62.0,52.0,32.4,86.9,6.48,2896.7,jute
106.6,37.8,100.6,23.6,82.8,6.86,1912.3,papaya
26.7,37.1,24.8,22.3,50.0,7.32,1053.8,chickpea
63.8,38.1,58.4,28.9,58.8,6.34,1126.6,mango
133.7,59.3,50.3,29.2,85.9,6.74,2065.9,jute
19.5,41.0,36.0,19.5,47.2,6.74,693.9,lentil
44.5,47.4,21.2,29.3,55.8,6.82,1084.9,pigeonpeas
34.9,42.1,37.7,28.4,76.1,6.62,869.9,blackgram
80.8,32.7,122.0,27.0,87.7,6.49,2712.9,coconut
122.2,54.1,61.3,32.0,83.8,6.21,2611.7,jute
18.4,32.7,16.8,28.6,48.1,7.68,544.8,mothbeans
56.1,44.0,129.7,28.3,89.1,5.99,2485.0,coconut
81.5,68.8,102.1,25.4,71.0,6.74,2144.8,papaya
28.5,44.2,32.4,27.1,45.3,6.62,845.7,chickpea
90.0,47.2,89.9,28.2,81.1,6.88,1978.0,papaya
28.0,24.4,24.9,28.2,33.6,6.91,468.2,mothbeans
73.2,44.6,106.9,17.7,79.1,5.62,3344.9,coffee
73.6,25.1,71.2,32.0,62.7,5.9,1250.0,mango
13.5,41.1,25.9,22.4,60.3,7.09,857.6,chickpea
54.5,45.7,54.5,30.0,55.8,6.77,1634.3,mango
81.5,52.4,118.2,28.6,75.3,6.42,932.3,watermelon
78.3,51.9,48.9,27.4,64.2,6.74,1902.6,orange
71.0,43.6,115.5,29.7,83.7,6.49,3221.0,coconut
144.7,67.0,44.6,30.9,92.9,7.34,3021.1,jute
47.0,47.7,70.9,26.4,55.9,7.51,1286.8,grapes
64.3,36.9,94.8,35.5,85.1,6.31,1940.6,coconut
23.5,36.7,33.0,18.9,41.3,6.94,643.0,lentil
89.1,48.5,65.9,25.2,64.7,6.28,1353.5,orange
32.3,52.8,40.9,28.4,60.4,6.46,1210.9,kidneybeans
32.3,38.5,46.9,28.4,72.5,6.56,801.4,mungbean
84.1,54.4,75.9,24.8,60.6,6.83,1884.3,orange
58.8,53.9,69.9,20.5,67.1,6.05,1631.5,orange
